"Name","Address","Bedroom","Bathroom","Total_area","Price","Phone"
"DIJUAL APARTEMEN PURI PARK VIEW","Kembangan, Jakarta Barat",1,"1","35 m²"," 575,000,000","+6281111931644"
"JUAL CEPAT MURAH APARTEMEN STUDIO KELAPA GADING SIAP HUNI DISEWAKAN","Kelapa Gading, Jakarta Utara",1,"1","21 m²"," 170,000,000","+6287771820561"
"APARTEMEN TOKYO DIJUAL PIK2 21M2 FULL FURNISH TERMURAH!!","Pantai Indah Kapuk, Jakarta Utara",1,"1","21 m²"," 300,000,000","+6285883446427"
"Apartemen 2 Kamar Tidur Bayar 5jt Langsung Huni","Kalideres, Jakarta Barat",2,"1","39 m²"," 846,280,000","+6281214934182"
"Dijual Hunian Baru Woho & Soho Apple 7 di Pancoran 800 jt an","Pancoran, Jakarta Selatan",1,"1","42 m²"," 888,000,000","+6281286781219"
"Kabar Gembira Apartemen Citra Garden Bayar 5jt Langsung Akad","Kalideres, Jakarta Barat",1,"1","32 m²"," 693,820,000","+6281214380731"
"Di jual Apartement Holland Cempaka Putih 3BR","Cempaka Putih, Jakarta Pusat",3,"1","104 m²"," 2,350,000,000","+6281297790945"
"Southgate Apartment Murah Mewah","Tanjung Barat, Jakarta Selatan",1,"1","54 m²"," 1,200,000,000","+6281291116674"
"APARTEMEN STRATEGIS DEKAT LAUT ANCOL SERTIFIKAT MURAH","Pademangan, Jakarta Utara",2,"1","40 m²"," 420,000,000","+6287774335058"
"FOR SALE Kemang Village Residence
Location Jl. Pangeran Antasari No. 36, Rt. 14 / Rw....","Jakarta Selatan",1,"1","38 m²"," 1,200,000,000","Contact5059265"
"Danmogot city jakarta barat","Daan Mogot, Jakarta Barat",1,"1","25 m²"," 700,000,000","+6281318299821"
"Apartment 2 BR Baru Full Furnished di Jakarta Timur","Pulo Gadung, Jakarta Timur",2,"1","42 m²"," 816,000,000","+6281310773080"
"3 BR Apartemen di jakarta selatan hanya 19jtan permeter Bonus voucher ikea","Pesanggrahan, Jakarta Selatan",3,"2","123 m²"," 2,453,850,000","+6281287800279"
"MT HARYONO JAKARTA SELATAN APARTEMEN DIJUAL CEPAT","Jakarta Selatan",1,"1","31 m²"," 1,150,000,000","+6281218301742"
"MT HARYONO TEBET JAKARTA SELATAN APARTEMEN DIJUAL CEPAT","Jakarta Selatan",1,"1","31 m²"," 1,350,000,000","+6281212435687"
"MT HARYONO JAKARTA SELATAN APARTEMEN DIJUAL CEPAT","Jakarta Selatan",1,"1","36 m²"," 1,500,000,000","+6281219885787"
"D JUAL  APARTEMENT SIGNATURE PARK GRANDE CAWANG","Jakarta Timur",2,"1","37 m²"," 900,000,000","+6281518831747"
"APARTEMEN MEDITERANIA GADING 3 KAMAR SIAP HUNI SERTIFIKAT","Kelapa Gading, Jakarta Utara",3,"2","88 m²"," 850,000,000","+6287770460446"
"DIJUAL BUTUH MURAH GREEN PRAMUKA CITY TIPE 2 BEDROOM","Cempaka Putih, Jakarta Pusat",2,"1","33 m²"," 480,000,000","+6281211059212"
"Jual/Sewa Apartemen The Newton 1 Ciputra World Semanggi Jakarta Selatan E-AP010","Karet Semanggi, Jakarta Selatan",1,"1","24 m²"," 1,400,000,000","+6287783711411"
"Apartemen Dijual/Disewa Ancol Mansion, Full Furnish, Luas 66 Meter, Kode :17818","Ancol, Jakarta Utara",1,"1","66 m²"," 1,050,000,000","+6281212132898"
"Apartemen Dijual The Mansion, Furnish, Luas 147 Meter, Kode :17831 Si","Kemayoran, Jakarta Pusat",3,"2","147 m²"," 2,500,000,000","+6281212303822"
"DIJUAL APARTEMEN GREEN BEY 2BR FULL FURNISH TERUMAH","Pluit, Jakarta Utara",2,"1","35 m²"," 330,000,000","+6285886097904"
"Apartemen Oasis Mitra Sarana","Senen, Jakarta Pusat",4,"3","299 m²"," 3,500,000,000","+6282114620987"
"Appartment 2 BR, murah, bagus dan strategis di Kemayoran, Jak Pus","Kemayoran, Jakarta Pusat",2,"1","65 m²"," 750,000,000","+6282119977084"
"DIJUAL/SEWA 2BR appartment Menteng Park, Jakarta Pusat (MUST SEE)","Menteng, Jakarta Pusat",2,"2","60 m²"," 2,800,000,000","+6282116064773"
"Dijual Apartemen Green Palace Signature Kalibata Siap Huni","Kalibata, Jakarta Selatan",1,"1","35 m²"," 450,000,000","+6287889220266"
"Dijual apartemen pearl garden semanggi. 2 bedroom","Gatot Subroto, Jakarta Selatan",2,"2","123 m²"," 4,200,000,000","+6281299505987"
"Apartemen tengah kota harga murah dengan 2 kamar","Cempaka Baru, Jakarta Pusat",2,"1","33 m²"," 510,000,000","+6281389140792"
"Dijual Apartemen Daerah Menteng Lokasi Strategis View Monas","Menteng, Jakarta Pusat",2,"1","64 m²"," 3,000,000,000","+6281292436798"
"Dijual Admiralty Residence 2BR Unfurnished Cilandak Jakarta Selatan","Cilandak, Jakarta Selatan",2,"1","47 m²"," 1,059,606,000","+6281289013243"
"Jl. Tj. Duren Timur 2 No.30, RT.12/RW.1, Tj. Duren Sel., Kec. Grogol petamburan, Kota...","Jakarta Barat",1,"1","30 m²"," 700,000,000","Contact7386149"
"Tinggal didaerah Puri indah? Mahal loh rumah disana! Puri Park View Jawabannya","Puri Indah, Jakarta Barat",1,"1","35 m²"," 430,000,000","+6281310855929"
"Ingin tinggal di hotel terus? Pilihlah Gloria Suites yang terbaik","Grogol Petamburan, Jakarta Barat",2,"1","45 m²"," 1,100,000,000","+6281317333421"
"DIJUAL Apartemen THE MANSION, Kemayoran","Ancol, Jakarta Utara",1,"1","57 m²"," 945,000,000","+6287884754193"
"Dijual Apartemen Kelapa Nias","Kelapa Gading Timur, Jakarta Utara",2,"1","35 m²"," 200,000,000","+6281755048218"
"Apartemen mewah kelapa gading 2BR harga 700jt","Kayu Putih, Jakarta Timur",2,"1","42 m²"," 770,000,000","+6289530796169"
"Dijual apartemen 2 kamar tidur dekat pusat Jakarta kota","Kayu Putih, Jakarta Timur",2,"1","42 m²"," 800,000,000","+6289539900885"
"Apartemen Dijual Royal Springhill, Luas 196 Meter, Kode :18175 Js","Kemayoran, Jakarta Pusat",3,"2","196 m²"," 3,850,000,000","+6281211796771"
"DIJUAL APARTEMEN MEDITERANIA GADING 3 KAMAR KOSONGAN SERTIFIKAT READY","Kelapa Gading, Jakarta Utara",3,"2","86 m²"," 800,000,000","+6287779573281"
"Pejaten Buncit Jakarta Selatan Apartemen Gardenia dijual Cepat","Jakarta Selatan",2,"1","48 m²"," 800,000,000","+6281216908259"
"DIJUAL UNIT KANTOR DI TOWER OFFICE BOUGENVILLE THE MANSION KEMAYORAN","Jakarta Utara",1,"1","68 m²"," 1,300,000,000","+6281355793138"
"Pakubuwono Menteng, TERMURAH, 260 sqm, Direct Owner, For Best Deal","Menteng Atas, Jakarta Selatan",3,"3","260 m²"," 15,800,000,000","+6281746364190"
"Botanica For sale at Jakarta Selatan, 3 Br, 225 Sqm, well maintained un","Kebayoran Lama, Jakarta Selatan",3,"4","225 m²"," 10,500,000,000","+6281748317092"
"APARTEMEN MURAH KELAPA GADING 2 KAMAR KOSONG LANTAI RENDAH.","Kelapa Gading, Jakarta Utara",2,"1","35 m²"," 215,000,000","+6287771467874"
"DIJUAL APARTEMEN RIVERSIDE PIK2 2BR UK 36M2 MURAH","Pantai Indah Kapuk, Jakarta Utara",2,"1","36 m²"," 470,000,000","+6285886918477"
"Jual Apartemen Kalibata City Jakarta Selatan","Kalibata, Jakarta Selatan",1,"1","31 m²"," 400,000,000","+6282298364820"
"DIJUAL RUGI , TERMURAH APARTEMEN TOKYO PIK TIPE STUDIO","Pantai Indah Kapuk, Jakarta Utara",1,"1","21 m²"," 240,000,000","+6282170334382"
"(GA20303-CS) DIJUAL : APARTEMEN WINDSOR TOWER 1 LT29 FULL FURNISH, JAKARTA BARAT","Puri Indah, Jakarta Barat",3,"3","186 m²"," 6,000,000,000","+6285819555275"
"APARTEMEN ELPIS RESIDENCE GUNUNG SAHARI LOKASI STRATEGIS 2 KAMAR FF..","Sawah Besar, Jakarta Pusat",2,"1","42 m²"," 750,000,000","+6287776862887"
"APARTEMEN MEDIT BOULEVARD KEMAYORAN DIJUAL 2 KAMAR FURNISH","Kemayoran, Jakarta Pusat",2,"1","45 m²"," 500,000,000","+6287771456503"
"JUAL CEPAT APARTEMEN GADING NIAS 2 KAMAR FURNISH SERTIFIKAT","Kelapa Gading, Jakarta Utara",2,"1","35 m²"," 270,000,000","+6287772804309"
"Apartemen Tower Terbaru Menara Jakarta Mewah Dekat Pintu Toll & Jiexpo View City","Kemayoran, Jakarta Pusat",3,"2","76 m²"," 1,350,000,000","+6285888210707"
"DIJUAL CEPAT MURAH APARTEMEN GADING NIAS TOWER A.","Kelapa Gading, Jakarta Utara",2,"1","35 m²"," 200,000,000","+6287773135682"
"Apartemen Springhill Kemayoran Tower Baru View Golf Balkon Besar DP 0%","Kemayoran, Jakarta Pusat",3,"3","185 m²"," 1,000,000,000","+6285887508967"
"Apartemen Dijual The Mansion, Furnish, Luas 90 Meter, Kode :17829 Si","Kemayoran, Jakarta Pusat",3,"2","90 m²"," 1,500,000,000","+6281219164522"
"Apartemen Dijual The Mansion, Luas 70 Meter, Kode :18003 Dj","Kemayoran, Jakarta Pusat",2,"1","70 m²"," 1,000,000,000","+6281215461295"
"Apartemen Tower Baru Springhill Royale Suite Kemayoran View Golf Dekat Tol DP 0%","Sunter Agung, Jakarta Utara",3,"3","185 m²"," 1,322,000,000","+6285880138954"
"Apartemen Green Bay Condominium,Tower K.Lt.11- Jakarta Utara","Jakarta Barat",2,"1","75 m²"," 1,250,000,000","+6285373888076"
"APARTEMEN GADING NIAS 2 KAMAR SEMI FURNISH SERTIFIKAT.","Kelapa Gading, Jakarta Utara",2,"1","35 m²"," 260,000,000","+6287771998298"
"APARTEMENSTUDIO KELAPA GADING MURAH SERTIFIKAT FULL RENOVASI SIAP HUNI","Kelapa Gading, Jakarta Utara",1,"1","21 m²"," 200,000,000","+6287773813545"
"Apartemen Dijual Sunter Park View, Furnish, Luas 35 Meter, Kode :02387 Ln/Gd","Sunter, Jakarta Utara",2,"1","35 m²"," 360,000,000","+6281214514380"
"Dijual Apartemen 2BR View Pool Kalibata City Jakarta Selatan","Kalibata, Jakarta Selatan",2,"1","33 m²"," 475,000,000","+6281214664546"
"APARTEMEN MURAH 2 KAMAR, LOKASI STRATEGIS KELAPA GADING.","Kelapa Gading, Jakarta Utara",2,"1","35 m²"," 185,000,000","+6287774504425"
"Apartemen Springhill Residence Kemayoran 1BR Balkon Besar View City Dekat GOLF","Kemayoran, Jakarta Pusat",1,"1","79 m²"," 1,600,000,000","+6285881044970"
"APARTEMEN MEDIT BOULEVARD KEMAYORAN 2 KAMAR FURNISH LT RENDAH","Kemayoran, Jakarta Pusat",2,"1","36 m²"," 440,000,000","+6287776293956"
"Dijual Apartemen The Elements 2br , kuningan, Mewah, bisa KPA, siap huni","Jakarta Selatan",2,"2","96 m²"," 3,877,000,000","+6282121034698"
"Sedayu City Apartemen di Kelapa Gading Tipe Studio Jual CEPAT TERMURAH","Kelapa Gading, Jakarta Utara",1,"1","28 m²"," 590,000,000","+6289988094242"
"(GA15524-HR)DIJUAL : APARTEMEN CENTRAL PARK TWR ADALINE LT19 SIAP NEGO DI JAKBAR","Tanjung Duren, Jakarta Barat",1,"1","44 m²"," 1,500,000,000","+6285810618144"
"APARTEMEN MEDITERANIA 2 KAMAR FURNISH DIJUAL SERTIFIKAT VIEW KOLAM","Kemayoran, Jakarta Pusat",2,"1","36 m²"," 475,000,000","+6287773570732"
"Apartemen the aspen residence fatmawati furnish siap huni mewah nego","Cilandak, Jakarta Selatan",4,"3","137 m²"," 3,500,000,000","+6287883616364"
"APARTEMEN STUDIO KELAPA GADING FURNISH SERTIFIKAT LT RENDAH","Kelapa Gading, Jakarta Utara",1,"1","21 m²"," 175,000,000","+6287770631299"
"Apartemen Springhill Jakarta Pusat 3 BR Furnish Balkon Besar DEKAT GOLF & TOLL","Kemayoran, Jakarta Pusat",4,"3","192 m²"," 3,000,000,000","+6285886365096"
"Apartemen Dijual Menteng Park,Full Furnish,Luas 32 Meter,Kode :17630","Menteng, Jakarta Pusat",1,"1","32 m²"," 1,200,000,000","+6281213699728"
"apartemen hampton park fully furnish siap huni 2 bed room jaksel","Cilandak, Jakarta Selatan",2,"1","58 m²"," 1,400,000,000","+6287887814703"
"APARTEMEN STUDIO LOKASI KELAPA GADING FURNISH SERTIFIKAT.","Kelapa Gading, Jakarta Utara",1,"1","21 m²"," 175,000,000","+6287773778535"
"(GA20372-CS) DIJUAL : APARTEMEN THE MANSION TWR BOUGENVILLE LT 30, JAKARTA PUSAT","Kemayoran, Jakarta Pusat",1,"1","33 m²"," 525,000,000","+6285812634922"
"(GA20325-CS) DIJUAL : APARTEMEN NEO SOHO CENTRAL PARK LT 27, JAKARTA BARAT","Tanjung Duren, Jakarta Barat",1,"1","123 m²"," 5,100,000,000","+6285811323613"
"DIJUAL RUGI APARTEMEN OSAKA TIPE STUDIO TERMURAH","Pantai Indah Kapuk, Jakarta Utara",1,"1","14 m²"," 185,000,000","+6282177412001"
"APARTEMEN GADING NIAS MURAH 2 KAMAR KOSONGAN SERTIFIKAT","Kelapa Gading, Jakarta Utara",2,"1","35 m²"," 220,000,000","+6287770911815"
"Apartemen Springhill Royale Residence Kemayoran 3BR dekat toll & golf blkon luas","Kemayoran, Jakarta Pusat",4,"3","192 m²"," 3,200,000,000","+6285889303690"
"Apartemen 2 BR Siap Huni Fully Furnish+Elektronik, hanya dengan Rp 5jt","Pulo Gadung, Jakarta Timur",2,"1","42 m²"," 774,813,000","+6282116921608"
"Dijual Apartemen The Elements , 3 BR+ Fully Furnished Baru Seperti di Foto","Kuningan, Jakarta Selatan",3,"2","141 m²"," 5,800,000,000","+6282120552906"
"Jual Apartemen The Elements, 2br, Baru & fully furnished, tinggal bawa koper","Jakarta Selatan",2,"2","83 m²"," 3,600,000,000","+6282126999103"
"1 Unit Apartemen Puri Imperium - Kuningan Jakarta Selatan","Kuningan, Jakarta Selatan",3,"2","106 m²"," 2,600,000,000","+6283899461456"
"APARTEMEN MURAH TIPE STUDIO KELAPA GADING NIAS FURNISH SERTIFIKAT","Kelapa Gading, Jakarta Utara",1,"1","21 m²"," 180,000,000","+6287778354496"
"Apartemen The Mansion Jakarta Pusat Dekat Toll & Golf 2BR Furnish","Kemayoran, Jakarta Pusat",2,"1","74 m²"," 1,200,000,000","+6285882564379"
"APARTEMEN STRATEGIS TENGAH KOTA HIBURAN LENGKAP GLODOK 1 KAMAR","Taman Sari, Jakarta Barat",1,"1","40 m²"," 675,000,000","+6287773446625"
"apartemen transpark cibubur 2 br furnish siap huni harga nego","Cibubur, Jakarta Timur",2,"1","45 m²"," 1,095,000,000","+6287889205213"
"DIJUAL MURAH APARTMENT 2 BR L'AVENUE PANCORAN","Pancoran, Jakarta Selatan",2,"1","99 m²"," 2,250,000,000","+6281289333993"
"Apartemen eastpark jakarta timur","Klender, Jakarta Timur",2,"1","33 m²"," 200,000,000","+6283892860214"
"FOR SALE Kemang Village Residence Mampang Prapatan, Jakarta Selatan","Kemang, Jakarta Selatan",1,"1","38 m²"," 1,300,000,000","+6281313846231"
"Dijual ApartemenTyoe Studio 25, New Baileys Lagoon Tower A - Ciputat","Jakarta Selatan",1,"1","25 m²"," 380,000,000","+6281592715885"
"Jual Apartemen Studio (hemat) di Bassura City Full Furnished di lt 9","Jatinegara, Jakarta Timur",1,"1","21 m²"," 403,000,000","+6281251988040"
"DIJUAL CEPAT APARTEMEN GADING NIAS RESIDENCE KELAPA GADING.","Kelapa Gading, Jakarta Utara",2,"1","35 m²"," 245,000,000","+6287777034674"
"Apartemen Signature Park Grande Cawang","MT Haryono, Jakarta Selatan",2,"1","42 m²"," 1,050,000,000","+6281385452774"
"Pakubuwono Spring","Kebayoran Lama, Jakarta Selatan",2,"2","170 m²"," 7,500,000,000","+6281863398451"
"Pakubuwono Spring","Kebayoran Lama, Jakarta Selatan",4,"4","340 m²"," 16,400,000,000","+6281863564271"
"dijual Apartemen 2kamar tidur","Pantai Indah Kapuk, Jakarta Utara",2,"1","39 m²"," 921,000,000","+6281907097453"
"Apartemen Dijual Sunter Icon, Full Furnish, Luas 43 Meter, Kode :18292","Sunter, Jakarta Utara",2,"1","43 m²"," 880,000,000","+6281213103677"
"Northern Park Residence - Green Lake Sunter","Sunter, Jakarta Utara",1,"1","20 m²"," 310,000,000","+6289970347810"
"Apartemen Dijual Greenbay, Furnish, Luas 77 Meter, Kode :18419 Ta","Sunter, Jakarta Utara",2,"2","77 m²"," 1,500,000,000","+6281217610139"
"Apartemen di Menteng","Menteng, Jakarta Pusat",2,"1","33 m²"," 450,000,000","+6281585462437"
"JUAL CEPAT APARTEMEN SUPERBLOK MOI KELAPA GADING 2 KAMAR FULL FURNISH","Kelapa Gading, Jakarta Utara",2,"1","45 m²"," 770,000,000","+6287774272327"
"Apartemen Dijual/Disewa Ancol Mansion,Luas 50 Meter,Kode :18408 Si/Yg","Ancol, Jakarta Utara",1,"1","50 m²"," 600,000,000","+6281216665921"
"JUAL APARTEMEN KELAPA GADING 2 KAMAR LANTAI RENDAH SIAP HUNI SHM","Kelapa Gading, Jakarta Utara",2,"1","35 m²"," 250,000,000","+6287772738404"
"JUAL CEPAT APART GADING NIAS 2 KAMAR SEMI FURNISH SERTIFIKAT HAK MILIK","Kelapa Gading, Jakarta Utara",2,"1","35 m²"," 265,000,000","+6287774689253"
"Verde Two, A Pet Friendly Residence, Rare combine unit, 4+1 Br, 460 Sqm - YANI L","SetiaBudi, Jakarta Selatan",4,"4","460 m²"," 31,000,000,000","+6281740221068"
"Botanica 2 Br, 157 Sqm, Best View for Pool, By Inhouse Marketing, Direct Owner.","Kebayoran Lama, Jakarta Selatan",3,"3","157 m²"," 6,500,000,000","+6281749820997"
"Apartemen Jakarta Selatan","Tanjung Barat, Jakarta Selatan",1,"1","68 m²"," 2,376,000,000","+6282113562039"
"Puri Mansion semi furnished termurah","Puri Indah, Jakarta Barat",1,"1","37 m²"," 699,000,000","+6285627744663"
"Apartemen Grand Central City Jakarta Barat","Taman Sari, Jakarta Barat",2,"1","47 m²"," 1,100,000,000","+6283885453257"
"Jual Murah 2bedroom Unfurnish atas mall bassura city","Tebet, Jakarta Selatan",2,"1","34 m²"," 450,000,000","+6281324703009"
"Termurah! Dijual Rumah 2 lantai siap huni SHM","Tebet, Jakarta Selatan",5,"4","153 m²"," 3,500,000,000","+6281327217348"
"Jual Cepat 2Bedroom Primary Unfurnish Atas Mall Bassura City","Tebet, Jakarta Selatan",2,"1","34 m²"," 450,000,000","+6281327332659"
"Jual Butuh 2bedroom Furnish Atas mall bassura SHM","Jatinegara, Jakarta Timur",2,"1","34 m²"," 560,000,000","+6281328452895"
"Jual Butuh Studio Unfurnish Apartemen Bassura City","Tebet, Jakarta Selatan",1,"1","21 m²"," 300,000,000","+6281322492096"
"JUAL MURAH 2Bedroom Furnished SHM Bassura City","Tebet, Jakarta Selatan",2,"1","34 m²"," 500,000,000","+6281322932120"
"Jual Murah 2bedroom furnish AJB Bassura City","Jatinegara, Jakarta Timur",2,"1","34 m²"," 500,000,000","+6281329157991"
"Botanica For Sale, 2+1 Br, 195 Sqm, Perfect for Investor, Direct owner - YANI LI","Kebayoran Lama, Jakarta Selatan",2,"2","195 m²"," 8,500,000,000","+6281747744255"
"Pakubuwono View dijual, 2 Br, 153 Sqm, Nice View YANI LIM","Kebayoran Lama, Jakarta Selatan",2,"2","153 m²"," 5,000,000,000","+6281744558721"
"Pakubuwono Residence CHEAPEST 2 BR, 178 Sqm, Garden and Pool view","Kebayoran Baru, Jakarta Selatan",2,"2","178 m²"," 6,300,000,000","+6281747683547"
"1 Park Avenue, 3 Br, 177 Sqm, Elegance Interior Design And Furniture, Direct","Kebayoran Lama, Jakarta Selatan",3,"3","177 m²"," 6,000,000,000","+6281740420351"
"Four Seasons CHEAPEST   Luxury Residencial, 3 Br, 196 Sqm, Only IDR 8,5Bio","SetiaBudi, Jakarta Selatan",4,"4","196 m²"," 8,500,000,000","+6281743469679"
"Senopati Suites At SCBD for Sale, Cheapest    Only 5.4Bio, 2 br, 135 Sqm","Kebayoran Baru, Jakarta Selatan",2,"2","135 m²"," 5,400,000,000","+6281745127679"
"Dijual Apartemen Daan Mogot City","Daan Mogot, Jakarta Barat",1,"1","2592 m²"," 600,000,000","+6281313630683"
"Apartemen 5 juta langsung akad tanpa biaya yang lain lagi","Kelapa Gading, Jakarta Utara",2,"1","42 m²"," 700,000,000","+6282151192248"
"Apartemen SQ Res 1 Bedroom Study Dijual di Jakarta Selatan","TB Simatupang, Jakarta Selatan",1,"1","60 m²"," 2,600,000,000","+6285899656261"
"Apartemen Dijual Setiabudi, Furnish, Luas 210 Meter, Kode :18040 Dj","Kuningan, Jakarta Selatan",3,"3","210 m²"," 4,600,000,000","+6281212744046"
"Setiabudi Menteng Jakarta Selatan Apartemen dijual Murah Cepat","SetiaBudi, Jakarta Selatan",2,"2","101 m²"," 1,750,000,000","+6281216395340"
"DIJUAL APARTEMEN MURAH FULLY FURNISHED PAKUBUWONO VIEW","Kebayoran Baru, Jakarta Selatan",3,"3","153 m²"," 4,800,000,000","+6281111341091"
"Dijual Apartemen Seasons City type Studio (Nego Sampai deal)","Grogol, Jakarta Barat",1,"1","33 m²"," 490,000,000","+6285654450818"
"Anandamaya, Luxury residencial at Sudirman, 4 BR, 267 sqm, Brand New, perpect","Tanah Abang, Jakarta Pusat",5,"5","267 m²"," 20,000,000,000","+6281741446991"
"Capital Residence at SCBD, CHEAPEST 2 BR, 150 Sqm, Nice View, Direct Owner,","Kebon Baru, Jakarta Selatan",3,"3","150 m²"," 6,000,000,000","+6281746351278"
"Pacific Place Residence Cheapest At Scbd, 4 Br, 500 Sqm, Direct Owner, Get Best","Sudirman, Jakarta Selatan",4,"5","500 m²"," 31,000,000,000","+6281741998299"
"Pakubuwono Residences, Below Market Price, 3+1 Br, 304 Sqm.","Kebayoran Baru, Jakarta Selatan",3,"4","304 m²"," 13,000,000,000","+6281745520193"
"Apartemen Jakarta Selatan","Tanjung Barat, Jakarta Selatan",1,"2","45 m²"," 2,072,300,000","+6282117187545"
"Botanica at Jaksel, 2+1 BR, 195 Sqm, BY INHOUSE MARKETING, Direct Owner.","Kebayoran Lama, Jakarta Selatan",4,"3","195 m²"," 8,200,000,000","+6281742115002"
"Senopati Suites for sale, 2 br, 135 sqm, By Onsite Agent, Best Deals - YANI LIM","Kebayoran Baru, Jakarta Selatan",2,"2","135 m²"," 5,300,000,000","+6281742963921"
"Capital Residence at SCBD, 3 BR, 170 Sqm, well maintained unit, Direct Owner,","Kebayoran Baru, Jakarta Selatan",3,"3","170 m²"," 9,000,000,000","+6281742073528"
"Dijual Apartemen murah di Jakarta Pusat dgn view Golf, Sea and City","Kemayoran, Jakarta Pusat",2,"2","80 m²"," 2,000,000,000","+6281740863472"
"Apartemen Jakarta Selatan","Tanjung Barat, Jakarta Selatan",2,"2","103 m²"," 2,999,100,000","+6282114533198"
"Capital Residence at SCBD, 3 Br, 170 Sqm, Nice Interior and furniture, DIRECT","Kebayoran Baru, Jakarta Selatan",4,"4","170 m²"," 9,500,000,000","+6281741064104"
"sewa unit apartemen taman rasuna","SetiaBudi, Jakarta Selatan",2,"2","79 m²"," 8,500,000","+6281319112614"
"APARTMENT MURAH DP BISA DI CICIL 12 Bulan","Cibubur, Jakarta Timur",2,"1","44 m²"," 800,000,000","+6281392837084"
"apartemen siap huni  Tanpa Bi ceking siap serah terima","Pluit, Jakarta Utara",1,"1","25 m²"," 600,000,000","+6281319332101"
"Apartemen Taman Anggrek 2 BR Tower 1, Furnished, GA20491-CS","Tanjung Duren, Jakarta Barat",2,"1","88 m²"," 1,650,000,000","+6285815870281"
"Apartemen Elite, Selangkah Pintu Tol Kebon Jeruk.","Kebon Jeruk, Jakarta Barat",1,"1","53 m²"," 1,325,000,000","+6285770522122"
"JUAL RUGI Luxury Apartemen Puri Casablanca Full Furnish","Tebet, Jakarta Selatan",5,"4","205 m²"," 4,700,000,000","+6281323847276"
"JUAL RUGI LUXURY FURNISHED 2BEDROOM SHM ATAS MALL BASSURA","Tebet, Jakarta Selatan",2,"1","34 m²"," 550,000,000","+6281326984078"
"Dijual CEPAT 3BR Kondominium Taman Anggrek","Jakarta Barat",3,"2","146 m²"," 2,500,000,000","+6287879920491"
"Jual murah 2bedroom semi furnish siap huni bassura city","Tebet, Jakarta Selatan",2,"1","34 m²"," 450,000,000","+6281323942715"
"Termurah! Jual Unit 2bedroom Primary Bassura City","Tebet, Jakarta Selatan",2,"1","34 m²"," 440,000,000","+6281320814263"
"Apartemen Dijual Griya Pancoran, Luas 133 Meter, Kode :18358 Bn/Fd","Pancoran, Jakarta Selatan",2,"2","133 m²"," 2,000,000,000","+6281211553769"
"Apartemen Dijual/Disewa Taman Anggrek, Luas 88 Meter,Kode :18288 Si/Fd","Grogol Petamburan, Jakarta Barat",2,"1","88 m²"," 1,500,000,000","+6281210264904"
"Apartemen Pancoran Riverside 2BR termurah FREE BIAYA2","Pancoran, Jakarta Selatan",2,"1","42 m²"," 455,000,000","+6281771375962"
"Jual cepat apartemen Green pramuka type studio","Cempaka Putih, Jakarta Pusat",1,"1","21 m²"," 385,000,000","+6282154683137"
"apartemen siap huni Tanpa DP","Pantai Indah Kapuk, Jakarta Utara",2,"1","59 m²"," 1,427,843,000","+6281310680714"
"DIJUAL APARTEMEN TOKYO RIVERSIDE PIK2 STUDIO 21m2 BRAND NEW","Pantai Indah Kapuk, Jakarta Utara",1,"1","21 m²"," 235,000,000","+6282171124583"
"Jual Apartemen Pulomas Park Type Studio Full Furnished","Kayu Putih, Jakarta Timur",1,"1","19 m²"," 350,000,000","+6282299337082"
"Apartemen Dijual Ancol Mansion, Furnish, Luas 50 Meter, Kode :18414 Dj","Ancol, Jakarta Utara",1,"1","50 m²"," 725,000,000","+6281216536277"
"Jual Cepat Taman Anggrek Residence Studio Lt.21","Jakarta Barat",1,"1","26 m²"," 900,000,000","+6281210432664"
"APARTEMEN KELAPA GADING 2 KAMAR SIAP HUNI / DISEWAKAN NON FURNISH SHM","Kelapa Gading, Jakarta Utara",2,"1","35 m²"," 255,000,000","+6287779812410"
"Jual rugi 2bedroom unfurnished atas mall bassura","Tebet, Jakarta Selatan",2,"1","39 m²"," 440,000,000","+6281323699105"
"JUAL RUGI 2BEDROOM UNFURNISHED ATAS MALL BASSURA","Tebet, Jakarta Selatan",2,"1","34 m²"," 440,000,000","+6281327186297"
"JUAL BUTUH! 2Bedroom Furnish Atas mall Bassura SHM","Jatinegara, Jakarta Timur",2,"1","34 m²"," 550,000,000","+6281323500163"
"Pakubuwono View CHEAPEST 2 Br, 153 Sqm, Furnished,  Direct owner, Best Deal","Kebayoran Lama, Jakarta Selatan",2,"2","153 m²"," 4,200,000,000","+6281746440424"
"Pakubuwono View TERMURAH, Pool View, 2 br, 153 Sqm, Direct Owner, Best Deal - YA","Kebayoran Lama, Jakarta Selatan",2,"2","153 m²"," 4,500,000,000","+6281741300482"
"Capital Residence at SCBD For Sale, 3 Br, 170 Sqm, Direct Owner, - YANI LIM 0817","Kebayoran Baru, Jakarta Selatan",3,"3","170 m²"," 9,500,000,000","+6281749445347"
"Pakubuwono View CHEAPEST 3 br, 196 sqm, Direct Owner, Only IDR 7.5Bio, Yani Lim","Kebayoran Lama, Jakarta Selatan",4,"3","196 m²"," 7,500,000,000","+6281742476556"
"Apartemen 4 kamar tidur","Kebayoran Lama, Jakarta Selatan",4,"2","124 m²"," 3,049,000,000","+6285267542578"
